,A,B,D2
0,0.1268234067369839,0.5816525456830544,0.6601044274866581
1,0.06652247842239667,0.5653046563989984,0.6209087570508321
2,0.15826274534386453,0.5750380736481141,0.5518395304679871
3,0.06263340247414906,0.5758365135957346,0.6302362233400345
4,0.00590384429088886,0.5727933016570127,0.7924184203147888
5,0.06708444096615707,0.5728684702686424,0.5750651471316814
6,0.09756279416759084,0.5665979314938457,0.5
7,0.007299024939754983,0.5764168781669812,0.5
8,0.0036266723425980585,0.5735335711322656,0.6518321260809898
9,0.13820987639718973,0.5679238653859305,0.6099699102342129
10,0.6675933945342793,0.5743522109427217,0.5090199455153197
11,0.3176966958245486,0.5751846180711772,0.5
12,0.06103161121731793,0.5779092183904193,0.5
13,0.25173105754204783,0.5524806194191542,0.5
14,0.02147733751026515,0.5469575798375572,0.5
15,0.005935247631993601,0.5742112886089883,0.6641660183668137
16,0.8937049990852074,0.5575824969385527,0.3105926401913166
17,0.006083340604358889,0.5641485138598363,0.5503614693880081
18,0.4318229761781254,0.5528714872700541,0.5
19,0.006937837470381125,0.5348167022586221,0.5
20,0.006823436647625858,0.5089490345725166,0.0
21,0.07431121507248639,0.5850056775415097,0.6248762309551239
22,0.16458232721945176,0.5901931542244153,0.714674656589826
23,0.05599378578939174,0.5638642545574479,0.7229507565498352
24,0.17493660048747506,0.5826832746840575,0.8339561820030212
25,0.13619605564258186,0.5508449435673916,0.5
26,0.44083154822254655,0.5938472007908184,0.6703165248036385
27,0.6461898416729902,0.5943547201438457,0.603570606559515
28,0.21966185303191088,0.5814733111640127,0.6469458490610123
29,0.5504298487397208,0.5761352536757164,0.5
30,0.19187162359876087,0.5712841667532519,0.28216538950800896
31,0.5010499507251388,0.5690181715226114,0.5
32,0.015038917979694033,0.5329380161641382,0.5
33,0.16563619439230992,0.5744323885770911,0.5
34,0.10668397468327873,0.5907292455987915,0.5751524331669012
35,0.17689112978503707,0.5863690321760093,0.6166642718017101
36,0.19598128260525516,0.5848281843397142,0.6672786548733711
37,0.22160860006553984,0.5627121906100011,0.5
38,0.10268117369522545,0.5641905670317064,0.5
39,0.3661649509740379,0.5524792017363754,0.5
40,0.015411254962249044,0.5573267407609219,0.5
41,0.41386564309736595,0.5870228688915062,0.5822542123496532
42,0.8683591452873928,0.5511952011801181,0.5
43,0.48801910925850134,0.5585265130733922,0.5522649735212326
44,0.8074412757307341,0.5478395290842676,0.7140225768089294
45,0.36955978005621937,0.586029992775598,0.5860344795510173
