,A,B,D2,E
0,0.7552702407354974,0.5530696304530667,0.5,0.75
1,0.0074092651979451585,0.5599891747401187,0.5,0.9868586659431458
2,0.007982017700157495,0.552950177050474,0.624614842236042,0.6453186571598053
3,0.0054416965619029645,0.5741585582609849,0.6451912969350815,0.7070516049861908
4,0.011811605088877686,0.5693149093351871,0.5,0.9892225563526154
5,0.2127926136730799,0.5832353146529963,0.594940139601628,0.9828047156333923
6,0.005279251834176657,0.5804080562660865,0.6987356543540955,0.930991530418396
7,0.12744590389054888,0.6208231361864261,0.7316564747856723,0.7744487822055817
8,0.4284326092577557,0.5749477755529051,0.5801368806278333,0.9873011112213135
9,0.004261552065824459,0.5809825862514799,0.5998268253169954,0.9843132793903351
10,0.007070600132799587,0.5566251451280954,0.6245170347392559,0.37066900730133057
11,0.005011094027291718,0.5565084933210653,0.5,0.9841068387031555
12,0.4866155661150888,0.5842728869407888,0.5,0.9890483319759369
13,0.007070656547171428,0.5540569033798537,0.5,0.9396903812885284
14,0.004717272865856659,0.5624308788587613,0.3208000361919403,0.7661286294460297
15,0.005625367186145924,0.5927112964532323,0.624215234691898,0.964740514755249
16,0.005256974998445907,0.5782189236346765,0.6577403744061788,0.18048030138015747
17,0.00685908130694679,0.5612362134124184,0.5,0.9586712419986725
18,0.6664371507600353,0.5564591513471979,0.5,0.7542092502117157
19,0.006452984886516355,0.5687393937917343,0.5,0.9844157695770264
20,0.29520665709755955,0.6087300357994816,0.6791212585839358,0.8570262491703033
21,0.004341336114180749,0.6041264164168498,0.6407394160827001,0.721797376871109
22,0.004607284699858272,0.5725999778965679,0.5811484809964895,0.7706221640110016
23,0.007409370300326068,0.5374106055528739,0.5,0.7733227014541626
24,0.005643615887833797,0.5588112776421738,0.6659526899456978,0.762858659029007
25,0.36145744184511686,0.5675121370377771,0.0,0.9905167520046234
26,0.00740949366389132,0.5540391441636405,0.5,0.798974484205246
27,0.006071832891531237,0.5532030663247404,0.5,0.9819104969501495
28,0.3292309293125486,0.5729752461310733,0.7016582041978836,0.957113653421402
29,0.006071949463885229,0.5397677690569402,0.5,0.9893640279769897
30,0.1194736780795177,0.6138661216847534,0.6453705814977487,0.9720839858055115
31,0.0059941892836823385,0.5549375321901159,0.5341127663850784,0.8209608197212219
32,0.005196712070788201,0.5607476838427821,0.5,0.6296228766441345
33,0.005191378650119982,0.5628944714031767,0.5515900440514088,0.7677561640739441
34,0.006071959553185846,0.549261098253575,0.6421495229005814,0.791418731212616
35,0.006071946202902301,0.5309159188158262,0.5,0.6092875003814697
36,0.006015425971519273,0.5668734063981314,0.6556398719549179,0.9911378026008606
37,0.00595592429128089,0.5515325954961668,0.5,0.9905186593532562
38,0.004930866776202691,0.5526032130651746,0.5,0.9915702044963837
39,0.004643757180753494,0.5412287576661634,0.5,0.9794945120811462
40,0.006099314352424834,0.5611945683005217,0.5,0.9876068532466888
