,A,B,D2,E
0,0.12341716171421735,0.5856207156923644,0.5403831023722887,0.7750926911830902
1,0.39705446076024176,0.5740275570401243,0.6789684519171715,0.4116845801472664
2,0.005816674448083092,0.5680485400832458,0.5,0.9895046949386597
3,0.6276765918180255,0.5699648691868783,0.7732752710580826,0.7872900068759918
4,0.3249654505966728,0.5801016658516378,0.6924515888094902,0.8159854114055634
5,0.21195507480277676,0.5653890408581788,0.6426782459020615,0.9918506741523743
6,0.07988639213284598,0.5944767944055882,0.6028122007846832,0.9751388430595398
7,0.43080676685890684,0.568470089818428,0.5566086396574974,0.826635330915451
8,0.00854053207670269,0.5633180670548559,0.615711621940136,0.9862191677093506
9,0.5785335009763068,0.5790934979811753,0.6130238085985183,0.9532313048839569
10,0.17840356331418372,0.5861138016304125,0.6936926146348318,0.9833860099315643
11,0.2975852356206763,0.5594727135111504,0.5,0.7949789464473724
12,0.7168621461050231,0.5675696335101938,0.7442509829998016,0.7591415047645569
13,0.28228048513720716,0.5605643115331282,0.5,0.9898861050605774
14,0.28505446085001074,0.5529561603085349,0.30178986489772797,0.7739537954330444
15,0.009546260649718974,0.5543834099017584,0.5,0.9661691188812256
16,0.007803369301989771,0.5505367742545102,0.6699453592300415,0.9916652739048004
17,0.008251197009673361,0.5598256739504193,0.6849609613418579,0.7588744163513184
18,0.20552583353807996,0.5700197650211593,0.5987115502357483,0.7804429233074188
19,0.006791104285645666,0.5368793442646272,0.5,0.76225346326828
20,0.4007929937682393,0.5501862823948673,0.5,0.9912813007831573
21,0.37495008448338996,0.5412312592793787,0.5,0.9896279275417328
22,0.25429038036354723,0.5537156846366863,0.5,0.7718355357646942
23,0.006584733284641708,0.5709607287793214,0.5536084957420826,0.9171913862228394
24,0.48269345328630475,0.5547107492818009,0.5,0.9807780385017395
25,0.4186559521428955,0.5508497089389548,0.5,0.9865996539592743
26,0.1897357713785489,0.5828279490460823,0.5340142659842968,0.8957380950450897
27,0.24994999195709722,0.5941626940989702,0.6977616623044014,0.9284610152244568
28,0.007185525287328187,0.5496932487387554,0.5,0.9828711748123169
29,0.005303482982114915,0.5883123161872955,0.637867187615484,0.9850282669067383
30,0.5356275125534214,0.554755686112365,0.6149408742785454,0.989084392786026
31,0.007185737269720938,0.5465366827072156,0.5,0.9870565533638
32,0.011633786872766283,0.5263247934227014,0.5,0.9283775687217712
33,0.37531464763113576,0.5825130327951353,0.5615611289006969,0.9338628947734833
34,0.17868923673893422,0.5847771925395373,0.570746504701674,0.951238602399826
35,0.00462956886219501,0.5959692995582042,0.6549773868173361,0.8540057241916656
36,0.2658567449157785,0.5986405025095809,0.6276772897690535,0.9071207344532013
37,0.003565810982096518,0.5708012987475877,0.5731661804020405,0.3801359236240387
38,0.08473001830983584,0.6014987622730925,0.6393200568854809,0.6305189803242683
39,0.15348529916063702,0.567385735623976,0.5259330477565527,0.9739106595516205
40,0.005888559490987544,0.5374513304757765,0.5,0.9909826517105103
41,0.7551392939714753,0.5623420771988341,0.5,0.9907833635807037
42,0.0037330803792727796,0.5830638913254528,0.7337776720523834,0.5795254707336426
43,0.517600563980337,0.5771840047856607,0.6935732513666153,0.9870901107788086
44,0.006354852754249629,0.5613764699258325,0.5,0.9901865422725677
45,0.22507641351770336,0.5659298747878668,0.693242758512497,0.9319967329502106
46,0.005745579372646636,0.5580549822390928,0.5715464502573013,0.988536924123764
47,0.5781761679734432,0.5797174942648561,0.6234290227293968,0.9954220056533813
48,0.00718618285670336,0.5486244087409979,0.5,0.8690287470817566
49,0.2898004401647494,0.5913652249429457,0.600125222466886,0.8076189160346985
50,0.006050393363655315,0.5516711919850181,0.5,0.9902036786079407
51,0.0057017897333003775,0.5864333068699313,0.6052175164222717,0.9927319884300232
52,0.005041299518817377,0.5798206060657657,0.5970105873420835,0.9674743711948395
53,0.5177897366358168,0.5518986420237085,0.5,0.9840685427188873
54,0.6582775759523876,0.5827042869628021,0.6292863364020983,0.9907900989055634
55,0.3548396373004583,0.5778721448497325,0.6725822687149048,0.9895256161689758
56,0.004794397284504703,0.5678825806471224,0.6375135779380798,0.9748713970184326
57,0.004574781075874168,0.53813466329637,0.5,0.9893195331096649
58,0.10090762496349692,0.5840647819967586,0.6385690247019132,0.9296178221702576
59,0.6493964667883503,0.5782341050181776,0.5,0.9848488867282867
60,0.008880713226358194,0.5565076826932183,0.5,0.984403520822525
61,0.2571894331553741,0.5712730094324739,0.6330224219709635,0.7592857480049133
62,0.4845975508603302,0.5799867247741882,0.6678046435117722,0.7732263207435608
63,0.004354041393576091,0.5701780740838075,0.5,0.929701030254364
64,0.27232180669597383,0.5697616331624855,0.678068608045578,0.9628211259841919
65,0.6877668561742553,0.5860735414788759,0.6013094335794449,0.7786828279495239
66,0.005799325985865855,0.5687785895850357,0.734400287270546,0.9270960092544556
67,0.620607724386096,0.5644591212987126,0.7019621729850769,0.9887827932834625
