,Unnamed: 0,A,B,D2,E,G
0,0,0.0064603705010124,0.5528748542528765,0.5,0.7930487394332886,0.9992420612252317
1,1,0.4628665551744579,0.5597231273106407,0.5,0.9449913203716278,0.9994823221350089
2,2,0.0043611653692677,0.556776295982212,0.5,0.9914096593856812,0.9996223318448756
3,3,0.0059964653337328,0.5576173724858309,0.0,0.9858859181404114,0.9995681629516184
4,4,0.007219401606365,0.5588675100644226,0.5,0.9887868463993073,0.999395321472548
5,5,0.0069424925645643,0.5575962399019213,0.6602956354618073,0.5145284235477448,0.9996117631089874
6,6,0.0051209254433339,0.5643888449848158,0.5,0.8286523520946503,0.9995694289391395
7,7,0.0057556795222855,0.5611937261806526,0.5,0.948853075504303,0.9856699965894222
8,8,0.2968955995100357,0.5999457824300998,0.5894543503721555,0.974697083234787,0.9992727200151421
9,9,0.0068596454091671,0.5705737712534378,0.5220546796917915,0.932810127735138,0.9993255373556167
10,10,0.0037568179983801,0.6052207519803252,0.687188571691513,0.8599352240562439,0.9980540599208325
11,11,0.0099881381041455,0.5309157232210184,0.30604999512434,0.966439127922058,0.9995239996060263
12,12,0.0074460122214287,0.5535125899854331,0.6006238162517548,0.9919846951961516,0.9993248572573066
13,13,0.0116120641860753,0.5557862108976568,0.0,0.7652657330036163,0.9906019195914268
14,14,0.3289669432733678,0.5548488672327668,0.5,0.9876600205898284,0.9995982114924118
15,15,0.0055396977501657,0.5735395463119088,0.5872042253613472,0.7896666526794434,0.9995349671517033
16,16,0.0052746984050188,0.5654490835447294,0.5,0.980484813451767,0.999629099300364
17,17,0.0051738103394164,0.5590326916044117,0.5,0.7723101079463959,0.999482560378965
18,18,0.007772066037479,0.5348200055423921,0.5,0.970138281583786,0.9996149680810049
19,19,0.0116115007342837,0.5556354841012939,0.5,0.5,0.9821930266916752
20,20,0.2586014713897062,0.5707956929015805,0.6033173501491547,0.9823021590709686,0.9995226692408323
21,21,0.0085167369651171,0.5639035151337699,0.5,0.853101372718811,0.999125347356312
22,22,0.0079324307861425,0.546260692644024,0.5,0.7694215476512909,0.9993522891309112
23,23,0.0063694439320787,0.5540313166436959,0.5,0.7893417179584503,0.9992890779976733
24,24,0.0116115834627762,0.5309154616018913,0.5,0.9895037412643432,0.9995636695821304
25,25,0.0063653067366341,0.5622501700539213,0.645727127790451,0.8511213064193726,0.9992047916166484
26,26,0.0051265383845128,0.5625985101945052,0.5,0.9862901270389556,0.9995769000670407
27,27,0.00581081897867,0.5535924902891691,0.5,0.7728868126869202,0.9994441887829453
28,28,0.004035835690732,0.5648302147923361,0.5,0.9928826093673706,0.9995685998874251
29,29,0.011611483877331,0.5240374265624541,0.3094853684306144,0.9894879758358002,0.9996584570908453
30,30,0.0048904718511257,0.5717061534593352,0.5841396674513817,0.8954932987689972,0.9995107555878349
31,31,0.0072193713645528,0.5505373145394727,0.5718054994940758,0.7595076858997345,0.9995617038221098
32,32,0.0060340930888332,0.555775585958849,0.5,0.7966389060020447,0.9992798427701928
33,33,0.0060548196636679,0.5674649141617965,0.6270125508308411,0.9866176545619963,0.9994570545386523
34,34,0.0099880035199084,0.5490359868082533,0.5,0.9733087420463562,0.9996185793715995
35,35,0.0047988630725367,0.5416913685405373,0.6844684258103371,0.9929964542388916,0.9995505725382827
36,36,0.0077720834172484,0.5432818319750019,0.5,0.987734317779541,0.9996349693101365
37,37,0.00643947405693,0.5556473236261019,0.5,0.9778014719486235,0.999483251129277
38,38,0.0094835455664257,0.5479393606936428,0.5,0.7684547007083893,0.9994946267688647
39,39,0.0081842038458206,0.548232158316318,0.6043952330946922,0.9883988797664642,0.999612705578329
40,40,0.0060224603195185,0.5613688852711076,0.6417566984891891,0.990886241197586,0.9993564051692374
41,41,0.0050469808408356,0.5645172111882225,0.5,0.7929414808750153,0.9995768048684113
42,42,0.0085174169991371,0.5775965431763551,0.5,0.9897301495075226,0.999376795545686
