Unnamed: 0,rating,text,business_name,business_category,business_description,_id
60001,3,Normal day food service.,Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.035573885522009e+20_1532835086043
60002,1,Burger was bland. Prices are high.,Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.1237242475190745e+20_1504540827184
60003,5,Great food and fresh,Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.126487644916666e+20_1544851388091
60004,5,"Being 24 hours, this is almost always the right place to be :-)",Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.0854009427938296e+20_1492389118629
60005,5,Love the spicy ketchup,Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.0143490277577777e+20_1488327013264
60006,5,My go-to place for breakfast if I am out late,Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.1640272070800935e+20_1485103592468
60007,5,"This was my first time having Whataburger, I have been back multiple times!",Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.1052701252757992e+20_1484395581320
60008,5,"Love it, the did is awesome!!!!!!",Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.1128305500765266e+20_1471180204800
60009,2,Really long wait for overpriced food that doesn't taste fresh. Skip this.,Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.153403073816852e+20_1620488225914
60010,5,"(Translated by Google) Excellent

(Original)
Exelente",Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.0783988780559992e+20_1579061368518
60011,1,"(Translated by Google) Come on

(Original)
Yuk",Whataburger,"['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout Restaurant']","Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.",1.1783234563337277e+20_1573189401952
60012,3,It will pass. Could use a little professionalism.  Employees seem to be just going through the motions.  Attentive but not friendly.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.162011300655189e+20_1619293077342
60013,1,"My food arrived to my table burnt to a crisp!! After waiting 40 minutes on it..Emerald returned it to the kitchen....30 minutes later I asked about my fried chicken breast, the cook didn't know anything about it. And was about to ""start"" it and I told them all that was alright.
Emerald had the audacity to ask me do I want it taken off my ticket...really?",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0362707012504214e+20_1618450221957
60014,4,"Ive only eaten at this location twice so my rating is overall. The first time, my food was good and the service was basic. Recently I went and the fast and service were great! Hopefully this location wont let me down on future visits",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1453412615405319e+20_1564012530242
60015,4,"Went there on a whim. And the atmosphere is like a cookout. The workers were professional but in a personal way. Which is good. Make me feel at home is what I like when I go out. They were sanitizing themselves before and after handling anything. And our cook was our waiter which was great because he listened, without having to even write anything down. He was well trained. Food tasted home cooked. DELICIOUS. I recommend the pot roast, all the vegetables, and even their nachos.",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1108395540632707e+20_1610228482731
60016,3,"Like the breakfast menu. But I refuse to eat a burger thru carryout again. There is a reason why most other restaurants use the thin white paper, it helps with moisture. It is as bad as krystal's soggy burgers. Gross. Don't be cheap, buy the thin white sheets.",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1752140777397556e+20_1619579444736
60017,4,The service was slowly returning. The service was good. Treated us well. Did respond to our request. Very friendly service.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0813146253124441e+20_1615970165172
60018,1,"Terrible service, waitress could not tell me anything about the food I wanted to order, then after placing the order told me ""we don't have the chicken for that."" Along with the fact the service staff was busy sitting at the counter and chatting with each other, rather than checking with their customers, my tea glass was empty, no one came to check, and when I tried to get their attention I was ignored. As for food, not so good ordered toast one side was done the other saw no heat! They don't have a toaster that works, they could have turned the bread around!  Don't eat here at the Denny's inside the Pilot in Pearl MS.",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1524485971668025e+20_1615176978861
60019,1,Dinner plates are never thoroughly cooked. They really need to update the menu because fish sticks is not the equivalent of catfish.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0240052701600929e+20_1618892407493
60020,5,"Amazing service, clean environment, and amazing staff. Would highly recommend!!",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0951948838410874e+20_1614361563346
60021,5,Very good food pancakes were awesome !!!,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0053735277141718e+20_1620230654538
60022,1,"Good food. Horrific service.

Wr were greeted and seated politely.  We all ordered but we were served in 15 segments. First my wife then 15 minutes later me then 30 minutes later my son.  All food ordered was not received. No bread served even though I ordered, the side of bacon never came. The waiter was polite. He apologized to my son for the order being late but didn't realize that the bacon hadn't be served.  When I mentioned it he said they can take it off.",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.00982550518524e+20_1554258303944
60023,1,"Today I ordered 3 cheeseburgers for the family. Usually the burger that gets messed up is mine that I never noticed until I get home, but today I decided to check the burgers before I left the restaurant and my daughters burger was not correct. All they had to do was put swiss cheese, pickles and bacon which cost extra, it had American cheese only ,no pickles or bacon, so I sent it back.... it came back with swiss cheese still no pickles or bacon, sent it back with the receipt for them to get it right, came back this time with lettuce, swiss cheese, still no pickles or bacon, sent it back again. Then the manager or who they said was the manager later after I asked to speak to the manager. I was told that the manager wouldn't talk to me cause I cursed at her, which didn't happen, which every customer standing at counter said that I didn't ,it was just her way of not dealing with me, sent it back again, in the meantime my other burger and fries are getting cold, then I heard her saying to cashier that was taking my food back for the fourth time, just put everything on and he can take off what doesn't belong on it. I questioned that and then someone came from the back and threatened to call the cops on me because I cursed at the manager, which like I said no one heard me say, the burger finally came back still with lettuce, but it had the swiss cheese, pickles and bacon, so I accepted it, I just asked if they could just replace the fries, which to my knowledge they did. I'm retired military  so I've eaten at Denny's in and out of the United States and this is the worst experience of my life, I felt so  helpless, never gave me the managers name when I wanted to report this to corporate, I was told that this store was a franchise and there was no one to contact. After today I've taken all Denny's of my menu",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0924530195563605e+20_1612563236543
60024,3,"Food was ready fast! Just was unorganized,with people that were eating there.",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1003180649230557e+20_1618279453924
60025,5,Always enjoy eating here.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1763691002492962e+20_1618648017373
60026,1,Called an order in they said it would be ready if 15 mins. I got there in 15 mins to pick it up and waited 45 mins for them to get my order cooked. When i got home with it i was missing the extra cheese and bacon i paid for. Very un happy with the service and food,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.016022850292808e+20_1598768985950
60027,5,Very nice and friendly service.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0043981771417595e+20_1615595851377
60028,1,So slow. Not busy. Terrible.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1592737652005159e+20_1617640861250
60029,2,First no Steak. Wanted the steak n egg breakfast. Brenda did her best. But it looked like she was the only waitress. Hate the sausage doesn't taste like real meat. Food was good but bacon was cold. Won't come back not a satisfying experience.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1501955960624264e+20_1577378843070
60030,1,While the service was good the wait time sucked. While we was waiting a couple was sitting at the bar. Their daughter was was art 5 r 6 was up running around and screaming at the top of her lungs. Management never once said anything to them so we just got up and left,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1280160624546069e+20_1554675020569
60031,5,"Great place,the food was delicious and hot , everything was perfect..great place for dinning",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0467732844973015e+20_1596575606931
60032,5,"1st time eating here,will be coming back",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.030492038182427e+20_1614225045785
60033,3,"The crew workers were awesome although they were short staff... while management did not help her staff at all... poor guy was juggling seating, taking orders, and running the register. One couple got up and left!",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1118990320331548e+20_1580601302001
60034,2,"I'm not overly picky about service, but my service today was so bad that I had to write a review.  First, our waitress took quite a while to come take our order. Then, when she finally came around, she seemed like she was completely unconcerned--well, actually, more like we were bothering her. When she brought out the food, my friend noticed her tots smelled a little weird and mentioned it to the waitress. Who again seemed more like we were bothering her than anything else.    They did get her a substitution for her tots. However, my order was also wrong and when it was sent back to correct it, she returned with the same thing sloppily thrown together with burned meat on it.  At this point, I had enough. I asked for the check and had my meal removed.  The one bright spot was the much more professional acting Jasmine--who tried her best to help and is the only reason I'm giving two stars. IF I ever return to this location again, then I'll only deal with her.  The other girl either needs to be retrained or replaced",Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1182862360314959e+20_1562301577781
60035,1,Will not be back to this location.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.1240938788894188e+20_1616261488200
60036,2,Service was good food was not.I ordered scrambled eggs and they were running yuck will not be back,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0775347067712024e+20_1583848935522
60037,4,Good food. A bit of a wait for food but this isn't a fast food restaurant.  Server was fantastic.,Denny's,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",1.0350675389690962e+20_1584656572159
