Unnamed: 0,rating,text,business_name,business_category,business_description,_id,policy_label
10000,4,Very clean place and great customer service. Poke is pretty good but a little pricey.  Had a 2 choice bowl with sushi rice.  I would return because of the service and location but i would go to other spots that are cheaper if I have more time.,Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.1646785119946047e+20_1485149267122,1
10001,1,"Numerous better options on the island, there's better options just up the street. Da Hawaiian Poke is just a bland option. Try Ono's up the street or Fresh Catch.",Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.0267678641614776e+20_1491101534705,0
10002,5,We visited this place for macadamia nuts and other stuff was an interesting place worth the visit very popular,Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.0332983715774515e+20_1530623117395,1
10003,4,Fresh ahi poke made fresh everyday.  Depending on the maker though the poke here is a bit or miss.  More often than not though the poke here is awesome.,Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.132809466479012e+20_1498982367483,1
10004,4,"They offer a variety of fresh poke in their display case that is sold by the pound. If you don't like what you see, you can go with the custom poke bowls instead. You should also try their smoked ahi dip.",Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.0883490360769959e+20_1459418469416,1
10005,5,"Delicious poke and friendly, helpful workers. Keep up the good work guys, aloha!",Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.1585085282182454e+20_1524597483767,1
10006,5,"Love this place. Great Poke bowls. I make a special stop whenever I'm in the nearby area (closed on Sunday). They have me spoiled... Makes me not want the cheap stuff at other places. Love all the ahi options, also the hamakua mushroom is pretty good. Smoked ahi dip is good. Like I said, they ruined me for other places! The only time I enjoy my ahi more is when I get some really great sashimi (not the everyday restaurant stuff).",Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.1685444980436342e+20_1530065205991,1
10007,4,"Poke was not as fresh as I am use to, but it is an personal preference. Staff was awesome.",Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.1722706390885918e+20_1458264546650,1
10008,5,Great Ahi dip. Take to your next pot luck!,Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.067134684764296e+20_1519173869158,1
10009,5,"The negs are the haters. I came here the Day Ono's was closed and man, game-changer. The Poke was fresh, almost still kickin' and the price will prove it. Love this poke, miss this poke. Ono who? Mahalo for the goodies...",Da Hawaiian Poke Company,['Hawaiian restaurant'],Classic poke is made with fresh local fish at this counter serve joint specializing in take out.,1.1233997046095033e+20_1463133618643,0
