,A,B,D2,E,G
0,0.032822791527,0.5340874036188097,0.0,0.9733730554580688,0.999569161067484
1,0.023957093971518,0.5101222352976731,0.1,0.9019711911678314,0.9995849869737867
2,0.0172993984772757,0.555200096466261,0.5951197445392609,0.991566389799118,0.999293195141945
3,0.0180248772986226,0.5377222681451164,0.5,0.7613427639007568,0.9996576662524603
4,0.0174556403446612,0.5618255936110017,0.5,0.7963822484016418,0.9994740120018832
5,0.3894793659207953,0.5674303698855133,0.6402000337839127,0.7584841251373291,0.9990046580787748
6,0.1443383565708652,0.5953889177685743,0.5824713315814734,0.9926285147666932,0.999540459131822
7,0.1263511201126657,0.5672205905851577,0.5,0.8066259920597076,0.9994914861745201
8,0.1224225562559594,0.5558552360348334,0.5,0.7851375043392181,0.9995782026380766
9,0.1835150646105834,0.5648663644830971,0.5,0.8477981686592102,0.999045159551315
