,A,B,D2,E,G,policy_label
0,0.1268234067369839,0.5816525456830544,0.6601044274866581,0.9934214055538176,0.9994067855877802,1.0
1,0.0665224784223966,0.5653046563989984,0.6209087570508321,0.3609179854393005,0.9972749745938928,1.0
2,0.1582627453438645,0.5750380736481141,0.5518395304679871,0.9873223304748536,0.9990488990442828,1.0
3,0.062633402474149,0.5758365135957346,0.6302362233400345,0.8598283529281616,0.9994218465290032,1.0
4,0.0059038442908888,0.5727933016570127,0.7924184203147888,0.9017585963010788,0.9995574127242436,1.0
5,0.067084440966157,0.5728684702686424,0.5750651471316814,0.7645817399024963,0.999549669213593,1.0
6,0.0975627941675908,0.5665979314938457,0.5,0.6626646816730499,0.9991232563043012,1.0
7,0.0072990249397549,0.5764168781669812,0.5,0.9872322380542756,0.999407193157822,1.0
8,0.003626672342598,0.5735335711322656,0.6518321260809898,0.9909636974334716,0.9996064007573296,1.0
9,0.1382098763971897,0.5679238653859305,0.6099699102342129,0.6564137637615204,0.999390490585938,1.0
10,0.6675933945342793,0.5743522109427217,0.5090199455153197,0.936742663383484,0.9994949337560683,1.0
11,0.3176966958245486,0.5751846180711772,0.5,0.9873951077461244,0.9968005823902786,1.0
12,0.0610316112173179,0.5779092183904193,0.5,0.9544933438301086,0.9324181601405144,0.0
13,0.2517310575420478,0.5524806194191542,0.5,0.986195594072342,0.9995073797181248,1.0
14,0.0214773375102651,0.5469575798375572,0.5,0.9903091490268708,0.9995533264882396,1.0
15,0.0059352476319936,0.5742112886089883,0.6641660183668137,0.7741163969039917,0.9987949723144992,1.0
16,0.8937049990852074,0.5575824969385527,0.3105926401913166,0.9876853823661804,0.9947750037536024,1.0
17,0.0060833406043588,0.5641485138598363,0.5503614693880081,0.7916572093963623,0.9994567952235228,1.0
18,0.4318229761781254,0.5528714872700541,0.5,0.6921168267726898,0.9931226936168968,0.0
19,0.0069378374703811,0.5348167022586221,0.5,0.9930385425686836,0.9995278936403338,0.0
20,0.0068234366476258,0.5089490345725166,0.0,0.8401384055614471,0.9946277835406364,0.0
21,0.0743112150724863,0.5850056775415097,0.6248762309551239,0.9834051728248596,0.9993491109344176,1.0
22,0.1645823272194517,0.5901931542244153,0.714674656589826,0.7607989311218262,0.9974675979465246,1.0
23,0.0559937857893917,0.5638642545574479,0.7229507565498352,0.9838972091674804,0.999564240075415,1.0
24,0.174936600487475,0.5826832746840575,0.8339561820030212,0.7716017067432404,0.9990818834048696,1.0
25,0.1361960556425818,0.5508449435673916,0.5,0.7834708094596863,0.9837228134274484,1.0
26,0.4408315482225465,0.5938472007908184,0.6703165248036385,0.992839366197586,0.9996157131972724,1.0
27,0.6461898416729902,0.5943547201438457,0.603570606559515,0.9678919017314912,0.99955533829052,1.0
28,0.2196618530319108,0.5814733111640127,0.6469458490610123,0.9918969869613647,0.9996358851203696,1.0
29,0.5504298487397208,0.5761352536757164,0.5,0.7604571282863617,0.9996014844218736,1.0
30,0.1918716235987608,0.5712841667532519,0.2821653895080089,0.9838581681251526,0.9996484075672925,1.0
31,0.5010499507251388,0.5690181715226114,0.5,0.9867263734340668,0.9996208278462292,1.0
32,0.015038917979694,0.5329380161641382,0.5,0.9137809574604034,0.9946875935420394,0.0
33,0.1656361943923099,0.5744323885770911,0.5,0.9884979128837584,0.9990685024531558,1.0
34,0.1066839746832787,0.5907292455987915,0.5751524331669012,0.7758374810218811,0.9966625729575752,1.0
35,0.176891129785037,0.5863690321760093,0.6166642718017101,0.9862826466560364,0.999537520983722,1.0
36,0.1959812826052551,0.5848281843397142,0.6672786548733711,0.7699771523475647,0.999477009056136,1.0
37,0.2216086000655398,0.5627121906100011,0.5,0.9154183268547058,0.9968057393562048,1.0
38,0.1026811736952254,0.5641905670317064,0.5,0.9897278249263765,0.999463275889866,1.0
39,0.3661649509740379,0.5524792017363754,0.5,0.5305092930793762,0.9988355449168012,1.0
40,0.015411254962249,0.5573267407609219,0.5,0.6919642388820648,0.999555516493274,1.0
41,0.4138656430973659,0.5870228688915062,0.5822542123496532,0.6053353324532509,0.9992399850743824,1.0
42,0.8683591452873928,0.5511952011801181,0.5,0.7643071115016937,0.9977934029884636,1.0
43,0.4880191092585013,0.5585265130733922,0.5522649735212326,0.9778106212615968,0.9981346316635608,1.0
44,0.8074412757307341,0.5478395290842676,0.7140225768089294,0.993005633354187,0.9995807287632488,1.0
45,0.3695597800562193,0.586029992775598,0.5860344795510173,0.984655112028122,0.999487866589334,1.0
46,0.4424868414673549,0.5961096922316897,0.7117697420633502,0.9028289020061492,0.9993487870087848,1.0
47,0.0057012445498726,0.5803106144949586,0.587771262973547,0.9755105674266816,0.999334612628445,1.0
48,0.4103720601071501,0.5702203222430493,0.552911352366209,0.9417094588279724,0.9993651107652112,1.0
49,0.4547828056223386,0.5820509587125944,0.6401473386213183,0.9563096463680268,0.9986799680627882,1.0
50,0.0063865674848828,0.5547082408438013,0.5,0.9804393351078032,0.9993450937326998,1.0
51,0.7500162176984881,0.56518731695459,0.5,0.913511335849762,0.999416472390294,1.0
52,0.1719879618335431,0.5777169993903634,0.6818940043449402,0.7015490829944611,0.9995523055549712,1.0
53,0.0060682668361191,0.5568758055779683,0.5,0.9824703633785248,0.9994186484836972,1.0
54,0.4108671684588753,0.5588245050626743,0.3283189609646797,0.9893301129341124,0.997796757845208,1.0
55,0.0079820060666123,0.559698659348787,0.5,0.9722444713115692,0.9994666478596628,1.0
56,0.3226536295443767,0.5604568631424046,0.5992084071040154,0.75,0.999202361505013,1.0
57,0.4490029866771188,0.5544147517075801,0.5,0.9827100932598114,0.9988847143249586,1.0
58,0.4197236038583927,0.5263258683616967,0.5,0.9603179395198822,0.999202245962806,1.0
59,0.0090701968399475,0.5382167169551658,0.5,0.8580992817878723,0.9995592175109778,0.0
60,0.0043404060667879,0.5695746454085111,0.5457832785323262,0.9628922939300536,0.9984971843659878,0.0
61,0.4867812595398655,0.5696522609864377,0.5,0.6996362060308456,0.9977376495953648,0.0
62,0.2071836036728311,0.5699446336258964,0.6110162902623415,0.9902964234352112,0.9994809757336044,1.0
63,0.0043402538981502,0.5674018049147169,0.331434354186058,0.9881183207035064,0.9986244647298008,1.0
