,rating,text,business_name,business_category,business_description,_id
50000,4,Pizza from the hut the way I remember as a kid.,Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0787578136914669e+20_1571680311648
50001,5,Order from them the other day it was great and no wait,Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.1688376278943746e+20_1545013271057
50002,3,Just ok. Odd location. Hard to park.,Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0718381648538398e+20_1562385424249
50003,3,"Delivery only. Longer wait time than Dominoes, shorter than mazzios. Crust can be chewy.",Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0812212194720055e+20_1508006409181
50004,5,"Awesome, thanks Justin.",Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.057940126919024e+20_1339694564439
50005,5,"Hands down fast and excellent service yesterday. My order was hot and fresh. Highly recommended. One of the last dine in Pizza Huts, let's give them our business to keep them around.",Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0201830923610875e+20_1588958911413
50006,5,"Ordered a few pizzas and a calzone, cashier was nice and polite, gave me a to-go cup to fill up as many times as I needed while I waited. The wait was a little longer than expected but my order came out super hot and fresh.",Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0649550298702948e+20_1580953580436
50007,4,Now I love Pizza Hut's pizza. Everything is wonderful there I love their lunch buffet I love their food the only thing that I would say is they need to put more toppings on their Pizza especially when you order for them to come to your home they never put enough toppings on it they skip you out for the price but I think after a while they started to pick up and get better because I tell you what it was only like 3 days ago 4 days ago I ordered a pizza from there and when it came to my door and when I had chicken wings to which were great with the bone in butt when they came to my door it was the best pizza I think I've ever had since I've lived here 34 years or more they put so much topping on that I thought I was in heaven and I must have done something right or something but I tell you they need to keep that up if they want their customers they need to start feeling those pizzas with more toppings and the cheese because that's the way a pizza should be you want that cheese just oozing off and all those toppings falling off. Now that's what I call a true pizza and it's worth it if they could just keep that up I think they would be making more money than ever. So I say all you Pizza Lovers you need to go up there try their pizzas try their Buffet try and order some for home and see what happens like I said I don't think we should have to pay for that those extra toppings because what they did that day I was so so happy. Keep it up Pizza Hut you getting better. Hopefully you got some really good Cooks in there now and when they make a pizza they know what they're doing. So now when I order home I don't have to call up there and say wow where is the cheese where is the meat I paid too much money for this kind of a pizza. I say yay somebody finally knows how to make a great wonderful Pizza. I hope that all of you experienced what I have. I'm saying this for all the people Pizza Hut keep up the good work don't send out sorry looking pizzas send out the best pizza you can send out because you want those customers.,Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.0544203226432827e+20_1559251154489
50008,5,The assistant manager was very hospitable.  Pizzas and wings we're hot and fresh.  Loved the sit in area.  Clean and cozy.  We will be back.,Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.1063336220113465e+20_1544653776066
50009,5,"Always fresh. Always nice people. Never too busy  great prices,. The ingredients are always fresh.  The deals are worth going back for.  Best Pizza there is.  No other company comes close. Delivery is always fast. Restaurant is always clean.",Pizza Hut,"['Pizza delivery', 'Chicken wings restaurant', 'Takeout Restaurant', 'Pizza restaurant']",Family-friendly chain known for its made-to-order pizzas.,1.1419511890152999e+20_1514335111292
